CustomerID;FirstName;MiddleName;LastName;Suffix;CompanyName;SalesPerson;EmailAddress;Phone;ModifiedDate
1;Orlando;N.;Gee;;A Bike Store;adventure-works\pamela0;orlando0@adventure-works.com;245-555-0173;2005-08-01T00:00:00
2;Keith;;Harris;;Progressive Sports;adventure-works\david8;keith0@adventure-works.com;170-555-0127;2006-08-01T00:00:00
3;Donna;F.;Carreras;;Advanced Bike Components;adventure-works\jillian0;donna0@adventure-works.com;279-555-0130;2005-09-01T00:00:00
4;Janet;M.;Gates;;Modular Cycle Systems;adventure-works\jillian0;janet1@adventure-works.com;710-555-0173;2006-07-01T00:00:00
5;Lucy;;Harrington;;Metropolitan Sports Supply;adventure-works\shu0;lucy0@adventure-works.com;828-555-0186;2006-09-01T00:00:00
6;Rosmarie;J.;Carroll;;Aerobic Exercise Company;adventure-works\linda3;rosmarie0@adventure-works.com;244-555-0112;2007-09-01T00:00:00
7;Dominic;P.;Gash;;Associated Bikes;adventure-works\shu0;dominic0@adventure-works.com;192-555-0173;2006-07-01T00:00:00
10;Kathleen;M.;Garza;;Rural Cycle Emporium;adventure-works\josé1;kathleen0@adventure-works.com;150-555-0127;2006-09-01T00:00:00
11;Katherine;;Harding;;Sharp Bikes;adventure-works\josé1;katherine0@adventure-works.com;926-555-0159;2005-08-01T00:00:00
12;Johnny;A.;Caprio;Jr.;Bikes and Motorbikes;adventure-works\garrett1;johnny0@adventure-works.com;112-555-0191;2006-08-01T00:00:00
16;Christopher;R.;Beck;Jr.;Bulk Discount Store;adventure-works\jae0;christopher1@adventure-works.com;1 (11) 500 555-0132;2006-09-01T00:00:00
18;David;J.;Liu;;Catalog Store;adventure-works\michael9;david20@adventure-works.com;440-555-0132;2005-08-01T00:00:00
19;John;A.;Beaver;;Center Cycle Shop;adventure-works\pamela0;john8@adventure-works.com;521-555-0195;2007-04-01T00:00:00
20;Jean;P.;Handley;;Central Discount Store;adventure-works\david8;jean1@adventure-works.com;582-555-0113;2005-09-01T00:00:00
21;Jinghao;;Liu;;Chic Department Stores;adventure-works\jillian0;jinghao1@adventure-works.com;928-555-0116;2006-09-01T00:00:00
22;Linda;E.;Burnett;;Travel Systems;adventure-works\jillian0;linda4@adventure-works.com;121-555-0121;2005-08-01T00:00:00
23;Kerim;;Hanif;;Bike World;adventure-works\shu0;kerim0@adventure-works.com;216-555-0122;2006-09-01T00:00:00
24;Kevin;;Liu;;Eastside Department Store;adventure-works\linda3;kevin5@adventure-works.com;926-555-0164;2006-09-01T00:00:00
25;Donald;L.;Blanton;;Coalition Bike Company;adventure-works\shu0;donald0@adventure-works.com;357-555-0161;2006-09-01T00:00:00
28;Jackie;E.;Blackwell;;Commuter Bicycle Store;adventure-works\josé1;jackie0@adventure-works.com;972-555-0163;2007-08-01T00:00:00
29;Bryan;;Hamilton;;Cross-Country Riding Supplies;adventure-works\josé1;bryan2@adventure-works.com;344-555-0144;2005-08-01T00:00:00
30;Todd;R.;Logan;;Cycle Merchants;adventure-works\garrett1;todd0@adventure-works.com;783-555-0110;2006-09-01T00:00:00
34;Barbara;J.;German;;Cycles Wholesaler & Mfg.;adventure-works\jae0;barbara4@adventure-works.com;1 (11) 500 555-0181;2007-07-01T00:00:00
37;Jim;;Geist;;Two Bike Shops;adventure-works\pamela0;jim1@adventure-works.com;724-555-0161;2006-09-01T00:00:00
38;Betty;M.;Haines;;Finer Mart;adventure-works\david8;betty0@adventure-works.com;867-555-0114;2007-09-01T00:00:00
39;Sharon;J.;Looney;;Fitness Hotel;adventure-works\jillian0;sharon2@adventure-works.com;377-555-0132;2006-09-01T00:00:00
40;Darren;;Gehring;;Journey Sporting Goods;adventure-works\jillian0;darren0@adventure-works.com;417-555-0182;2005-08-01T00:00:00
41;Erin;M.;Hagens;;Distant Inn;adventure-works\shu0;erin1@adventure-works.com;244-555-0127;2006-07-01T00:00:00
42;Jeremy;;Los;;Healthy Activity Store;adventure-works\linda3;jeremy0@adventure-works.com;911-555-0165;2006-07-01T00:00:00
43;Elsa;;Leavitt;;Frugal Bike Shop;adventure-works\shu0;elsa0@adventure-works.com;482-555-0174;2006-08-01T00:00:00
46;David;O;Lawrence;;Gear-Shift Bikes Limited;adventure-works\josé1;david19@adventure-works.com;653-555-0159;2006-12-01T00:00:00
47;Hattie;J.;Haemon;;Greater Bike Store;adventure-works\josé1;hattie0@adventure-works.com;141-555-0172;2005-09-01T00:00:00
48;Anita;R.;Lucerne;;Grand Industries;adventure-works\garrett1;anita0@adventure-works.com;164-555-0118;2007-09-01T00:00:00
52;Rebecca;;Laszlo;;Instruments and Parts Company;adventure-works\jae0;rebecca2@adventure-works.com;1 (11) 500 555-0155;2007-09-01T00:00:00
55;Eric;;Lang;;Kickstands and Accessories Company;adventure-works\pamela0;eric6@adventure-works.com;932-555-0163;2007-09-01T00:00:00
56;Brian;;Groth;;Latest Accessories Sales;adventure-works\david8;brian5@adventure-works.com;461-555-0118;2006-08-01T00:00:00
57;Judy;R.;Lundahl;;Leading Sales & Repair;adventure-works\jillian0;judy1@adventure-works.com;260-555-0130;2005-09-01T00:00:00
58;Peter;;Kurniawan;;Largest Bike Store;adventure-works\jillian0;peter4@adventure-works.com;436-555-0160;2005-11-01T00:00:00
59;Douglas;;Groncki;;Locks Company;adventure-works\shu0;douglas2@adventure-works.com;385-555-0140;2007-09-01T00:00:00
60;Sean;J.;Lunt;;Main Bicycle Services;adventure-works\linda3;sean4@adventure-works.com;183-555-0111;2007-09-01T00:00:00
61;Jeffrey;;Kurtz;;Many Bikes Store;adventure-works\shu0;jeffrey3@adventure-works.com;452-555-0179;2006-09-01T00:00:00
64;Vamsi;;Kuppa;;Metal Clearing House;adventure-works\josé1;vamsi1@adventure-works.com;290-555-0196;2007-08-01T00:00:00
65;Jane;P.;Greer;;Metro Manufacturing;adventure-works\josé1;jane2@adventure-works.com;737-555-0163;2006-08-01T00:00:00
66;Alexander;J.;Deborde;;Neighborhood Store;adventure-works\garrett1;alexander1@adventure-works.com;394-555-0176;2006-08-01T00:00:00
70;Deepak;;Kumar;;Outdoor Aerobic Systems Company;adventure-works\jae0;deepak0@adventure-works.com;1 (11) 500 555-0122;2007-08-01T00:00:00
73;Margaret;T.;Krupka;;Outdoor Sports Supply;adventure-works\pamela0;margaret1@adventure-works.com;107-555-0132;2005-08-01T00:00:00
74;Christopher;M.;Bright;;Parcel Express Delivery Service;adventure-works\david8;christopher2@adventure-works.com;162-555-0166;2005-11-01T00:00:00
75;Aidan;;Delaney;;Paint Supply;adventure-works\jillian0;aidan0@adventure-works.com;358-555-0188;2005-09-01T00:00:00
76;James;J.;Krow;;Out-of-the-Way Hotels;adventure-works\jillian0;james11@adventure-works.com;265-555-0190;2005-09-01T00:00:00
77;Michael;;Brundage;;Mechanical Products Ltd.;adventure-works\shu0;michael13@adventure-works.com;128-555-0148;2006-08-01T00:00:00
78;Stefan;;Delmarco;;Preferred Bikes;adventure-works\linda3;stefan0@adventure-works.com;819-555-0186;2005-08-01T00:00:00
79;Mitch;;Kennedy;;Reasonable Bicycle Sales;adventure-works\shu0;mitch0@adventure-works.com;996-555-0192;2006-08-01T00:00:00
82;James;D.;Kramer;;Refined Department Stores;adventure-works\josé1;james10@adventure-works.com;814-555-0130;2006-07-01T00:00:00
83;Eric;J.;Brumfield;;Requisite Part Supply;adventure-works\josé1;eric3@adventure-works.com;644-555-0114;2005-07-01T00:00:00
84;Della;F.;Demott Jr;;Rewarding Activities Company;adventure-works\garrett1;della0@adventure-works.com;752-555-0185;2005-08-01T00:00:00
88;Pamala;M.;Kotc;;Closest Bicycle Store;adventure-works\jae0;pamala0@adventure-works.com;1 (11) 500 555-0173;2007-09-01T00:00:00
91;Joy;R.;Koski;;Scooters and Bikes Store;adventure-works\pamela0;joy0@adventure-works.com;810-555-0198;2005-09-01T00:00:00
92;Jovita;A.;Carmody;;Sports Commodities;adventure-works\david8;jovita0@adventure-works.com;646-555-0137;2005-09-01T00:00:00
93;Prashanth;;Desai;;Stationary Bikes and Stands;adventure-works\jillian0;prashanth0@adventure-works.com;138-555-0156;2005-09-01T00:00:00
94;Scott;;Konersmann;;Specialty Sports Store;adventure-works\jillian0;scott6@adventure-works.com;556-555-0192;2006-07-01T00:00:00
95;Jane;N.;Carmichael;;Rural Department Store;adventure-works\shu0;jane0@adventure-works.com;716-555-0167;2007-07-01T00:00:00
96;Bonnie;B.;Lepro;;More Bikes!;adventure-works\linda3;bonnie2@adventure-works.com;354-555-0130;2005-09-01T00:00:00
97;Eugene;;Kogan;;Mountain Bike Center;adventure-works\shu0;eugene2@adventure-works.com;136-555-0134;2006-08-01T00:00:00
100;Kirk;T;King;;Up-To-Date Sports;adventure-works\josé1;kirk2@adventure-works.com;979-555-0163;2007-08-01T00:00:00
101;William;J.;Conner;;Urban Sports Emporium;adventure-works\josé1;william1@adventure-works.com;383-555-0111;2006-08-01T00:00:00
102;Linda;;Leste;;National Manufacturing;adventure-works\garrett1;linda7@adventure-works.com;493-555-0134;2005-08-01T00:00:00
106;Andrea;A.;Thomsen;;West Side Mart;adventure-works\jae0;andrea1@adventure-works.com;1 (11) 500 555-0120;2007-09-01T00:00:00
109;Daniel;P.;Thompson;;Travel Sports;adventure-works\pamela0;daniel2@adventure-works.com;247-555-0197;2007-09-01T00:00:00
110;Kendra;N.;Thompson;;Vintage Sport Boutique;adventure-works\david8;kendra0@adventure-works.com;464-555-0188;2007-07-01T00:00:00
111;Scott;A.;Colvin;;Westside Cycle Store;adventure-works\jillian0;scott1@adventure-works.com;119-555-0144;2005-12-01T00:00:00
112;Elsie;L.;Lewin;;Town Industries;adventure-works\jillian0;elsie0@adventure-works.com;803-555-0116;2007-09-01T00:00:00
113;Donald;M.;Thompson;;Trendy Department Stores;adventure-works\shu0;donald1@adventure-works.com;273-555-0111;2007-09-01T00:00:00
114;John;L.;Colon;;Two Wheels Cycle Store;adventure-works\linda3;john14@adventure-works.com;397-555-0144;2005-09-01T00:00:00
115;George;Z.;Li;;Security Racks and Locks Wholesalers;adventure-works\shu0;george3@adventure-works.com;699-555-0183;2006-08-01T00:00:00
118;Yale;;Li;;Rapid Bikes;adventure-works\josé1;yale0@adventure-works.com;316-555-0138;2005-09-01T00:00:00
119;Phyllis;A.;Thomas;;Red Bicycle Company;adventure-works\josé1;phyllis2@adventure-works.com;667-555-0112;2005-07-01T00:00:00
120;Pat;;Coleman;;Machines & Cycles Store;adventure-works\garrett1;pat2@adventure-works.com;292-555-0128;2007-07-01T00:00:00
124;Yuhong;;Li;;Nearby Sporting Goods;adventure-works\jae0;yuhong1@adventure-works.com;1 (11) 500 555-0176;2006-08-01T00:00:00
127;Joseph;M.;Lique;;Front Sporting Goods;adventure-works\pamela0;joseph2@adventure-works.com;119-555-0195;2006-08-01T00:00:00
128;Judy;J.;Thames;;Demand Distributors;adventure-works\david8;judy3@adventure-works.com;799-555-0118;2006-06-01T00:00:00
129;Connie;L.;Coffman;;Discount Bicycle Specialists;adventure-works\jillian0;connie0@adventure-works.com;426-555-0181;2005-11-01T00:00:00
130;Paulo;H.;Lisboa;;Elite Bikes;adventure-works\jillian0;paulo0@adventure-works.com;380-555-0116;2006-09-01T00:00:00
131;Vanessa;J.;Tench;;Eighth Bike Store;adventure-works\shu0;vanessa0@adventure-works.com;785-555-0163;2007-08-01T00:00:00
132;Teanna;M.;Cobb;;Another Sporting Goods Company;adventure-works\linda3;teanna0@adventure-works.com;661-555-0168;2007-08-01T00:00:00
133;Michael;;Graff;;Commercial Sporting Goods;adventure-works\shu0;michael16@adventure-works.com;132-555-0150;2006-09-01T00:00:00
